id,	description
13298420836,	6 hills. Possibly a huge mistake but could not help it. Felt great to open it up a bit. Thnks fr th mmrs by Fall Out Boy came on??? I think I meant to queue a diff song but it got me through hills. Listened to it 3 times this morning. I’ll toss them a bone they get artist of the day.  SOTD: thnks fr th mmrs. Mr big stuff AOTD: Fall Out Boy. Jean Knight
13316095950,	This morning is the most beautiful I’ve ever seen Memphis holy cow. Makes me miss Chicago. Thank god I didn’t slip & break my neck. On track for possibly the best Friday ever.  SOTD: Santa tell me. Litte Lies. SHC AOTD: Fiona Apple. The Marias. Faye Webster  Potential new fav sock & shoe combo pictured as well.
13360780724,	Drank a FULL cup of coffee this morning. Need to learn how to reel it in. F3 guys were doing suicides on the Tom Lee basketball court so that was cool to see. 911 call morning. Up early to go to the office  SOTD: better in the dark. sex on fire. good form AOTD: hall & Oates. fisher. Nicki  MOTD: kicking & screaming (caffeine aspect & Mike ditka)
13375240212,	.5 WU/CD 3 x 1mi   Felt so hard & those mints are demons. Good hard effort though. Jimmy Buffet for the warm up was possibly a mistake. Did not put me in the mood to go fast. Morning runs are so superior.  SOTD: Come Monday. IDGAF AOTD: Jimmy Buffet. AJR
13408740916,	Great Lakes relay playlist day Josie Bond  Jill Carroll   SOTD: she looks so perfect by 5sos - possibly song of the month  Chatted on the phone with my mom for the last 45 mins. Awesome Monday
13422269729,	SOTD: again. From the start. low life AOTD: Michael jackson. laufey
13439260252,	Had to wear socks for gloves. Can’t find mine. Buster Bluth Friday  SOTD: Edge of Seventeen. Barracuda AOTD: FWM. Heart. 5sos
13474020685,	1mi WU/CD 4mi tempo  Actually so hard. Didn’t wanna do it. Glad I did  SOTD: The Man. just can’t get enough AOTD: flume. flux pavillion. black eyed peas
13523880727,	Wanted to run early this morning. Dalton showed up with cinnamon rolls. Classic tale. Thank you Stuart for the route. Chatted with mom
13536978541,	So so so so foggy but I liked it. Bad day to wear grey. Music taste is so rank.   SOTD: 30 for 30. Better in the dark. Silver Springs AOTD: Fall Out Boy :( . Ed Sheeran :(
13546337761,	Met a PNF (tate) in the elevator this morning. Fun way to start my Wednesday. Took a pause to walk at half way.
13573281064,	Run to come back. 45 total
13585569278,	Running off a hangover. I have a feeling I’ll have to run it back tmrw morning. Sooooooo cold. Chatted with mom  SOTD: silver springs. walk. dance to the music AOTD: Drake :(
13624757966,	Long week. great start to Friday. On track again for possibly the best day ever  SOTD: Valentine. Archer. Anything Could Happen AOTD: Laufey. Taylor Swift. Ellie Goulding
13647412138,	Knee hurts had to short cut home. Snow this week. Hiatus
13772758050,	Something funny is happening to me.  SOTD jireh
14057256717,	Broke my watch :( Hard! Heel hurt for the first mile but it loosened. Feels good post run. So sweaty. Stopped at halfway & to take off & pick up my sweatshirt SOTD: Nokia. mo pole. anything can happen
14077083039,	Pre race day 30. felt good. stretched & did abs before
14615763975,	SOTD: CDL AOTD: Billie
14739844997,	Called dad. Discussed his vacation. adult friendships. financial planning. Voice memo to Soern - discussed softball & what constitutes a good day
14750028523,	Ran with Verena Ali & Annie. Discussed turmeric. Verena’s lack of AC. upcoming runs
14869806848,	Heel hurts
14871768740,	2 x 100 free 4 x 25 kicking  2 x 100 free 4 x 25 kicking 2 x 50 back
14889269260,	Really kound lofeguard. Ous that her full time job?
14899583656,	Guy with America swuom cap oun next lane over
14920933797,	Switching out up this morniubg
14928068868,	Mean lifeguard
14930999530,	Good
14942600969,	Heel felt good. SOTD: You Say. Lovefool
14955479486,	Sunday fun run. Listened to music. Felt so great after
14967844262,	Quick
14967844454,	Ran with Malena. discussed new home. talked to ALEXA about med stuff. popped champagne at Malena’s new home
15063353091,	No heel pain!
15063673027,	Ran w Annie Alexa & Morgan
15103553937,	Claire Bruce Alexa Betjemann & Soph. Intended to run 3 miles tops.
15170261063,	I threw up when i got home
15188073039,	Chatted w corepeer Kelsey. Discussed work. fast food. Ben/bellas engagement
15192544825,	Discussed Avery’s engagement. bowels.
15203389225,	Chatted with dad. Discussed sweat & lawn care
15225759070,	4 hills. So hard. Nose bled
15242428807,	SOTD: suit & tie AOTD: Disco lines
15269219862,	Ran w Verena & Hayley. Discussed food & the concept of a bowl
15302668350,	5 hills. Horrid. Intern Amy’s last day at work. Running on schwarma & baklava.  AOTD: JT SOTD: Thnks fr th Mmrs
15310855361,	Josh Clark spotting!!! (I think)
15319496312,	SOTD: breakin dishes AOTD: JT. mav city. Rihanna
15334744814,	SOTD: breakin dishes x2 AOTD: Fleetwood Mac
15346900258,	SOTD: breakin dishes AGAIN!
15347039442,	Awesome
15347243632,	Stuart & Luis dropped me off! Thanks!
15359158918,	Sloshy. Pray for my air pods
15399431699,	Hyfo  SOTD: bad girls AOTD: Donna Summer
15427054303,	Ran with Avery & Morgan. Discussed dinner. coworkers. Morgan’s LSAT  Tried out the new Bondi 9s. Heel hurt! SOTD: Last Friday Night
15479203601,	Jojo W. is not human. Really didn’t want to run today. glad i did.  SOTD: Really Really. Alive AOTD: Kevin gates. kid cudi  Chatted w mom for pre miles. Reba’s good. We discussed Alexa Betjemann Claire Bruce & Sophie
15491287058,	So sweaty. Took many breaks.  SOTD: ET AOTD: Katy Perry & Kanye  Miscalculated a lot of my turn arounds.
15495987090,	Chatted w Soern & mom
15506908293,	Ran with Lauren & Avery. Discussed dinner & auto repairs
15519178736,	Ran w THE Rob Katz  SOTD: Upgrade U AOTD: Beyonce. Drake
15537976107,	5 hills. Tough. Heel felt good. Not as dead as last time  SOTD: Alive. Now you do
15558276994,	Lovely Saturday.   SOTD: peanut butter jelly AOTD: Galantis
15583368246,	Listened to music. So excited for St Jude
15598811038,	Called Soern
15618440671,	Doing what i can on lunch. Heel felt GREAT by mile 3.   SOTD: After Last Night. breakin dishes AOTD: Bruno Mars. Rihanna
15625068762,	In lieu of Liza’s run SOTD: Silver Springs. Gypsy. Smoking out the Window AOTD: Fleetwood Mac. Bruno mars
15670179043,	Here for work. Thought I saw Lexi hull at the airport last night. It was just another white girl with two black eyes. SOTD: Flashing lights. communion AOTD: Kanye. Mav
15681068193,	Week 1 cut short. heading back today. Called dad & ran past Plainfield high school. XC team on the track SOTD: ET AOTD: Katy Perry
15704360448,	Felt great. On track for yet again the best Friday ever
15718481569,	Slow morning. Solo run Started working at mile 10 to get down to goal race pace. Finally hit it at 12. Discouraged how hard it was.   SOTD: All too well (10 min). Jordan Belfort. holy grail. In the Dark AOTD: Taylor. Flume. Louis the Child
15751977917,	Back to the Hampton inn. Worked til 2am last night. really fun being at the plant but I’m sleepy  SOTD: in the dark. beautiful. Addicted to my Ex AOTD: snoop dog. Louis the Child
15766820100,	Pretty hard to get out of bed & run today. Sat on a bench for a bit at the park.  SOTD: Drunk & Hot girls AOTD: Louis the Child. DEV
15787077986,	Western style omelets & potatoes & sausage & coffee & syrup
15833566913,	I solemnly swear that i am the sweatiest person in this city. Need to learn to slow down. Heel felt better after a morning roll.   SOTD: holy grail. addicted to my ex AOTD: JT. beyonce
15842071709,	SOTD: Gypsy. Silver Springs AOTD: Fleetwood Mac. Hozier
15855086587,	Long run attempt. Called mom. Heel hurt
15889165270,	Learning what zone 2 means
15893094690,	Called mom. dad. & Soern. Discussed friends. sleep. what a scramble is. Arkansas Memphis game.
15908320171,	SOTD: Take Me Back. Lasso. Skrilla AOTD: Mav City+Dante Bowe. FOB :(. Jaxson Dart for the skrilla
15919864375,	SOTD: Jonny (new fav song). sex on fire. Stan AOTD: Faye Webster. The marias. the cranberries. eminem
15934193609,	6 hills. So anxious on the warm up. So glad i did them SOTD: Thnks fr th mmrs AOTD: FOB :(
15954074167,	GHMP pickups for miles 10.12.14. Nailed the first one. screwed the 2nd & 3rd. Blaming the downhill  Chatted w mom otp & ran with sweet Morgan. So excited that Maxs patio is open  FMI: gels at mile 4 & 8. .5 pop tart & 3 chews before
15981704553,	Ran w Hayley & Erica! Discussed air fried salmon. mono. & trains. HAPPY BDAY Avery Stiber i took the liberty of including my fav pics
15985661920,	2mi wu. 5mi tempo. 1mi cd Inconsistent on the pace. will try again next time  SOTD: imagine. cmon. mercy AOTD: Bobby shmurda
16008256823,	1.5 Wu. 6x800 @ 6:20 3min rest. Cd to 6.5  Felt awesome. weather was perfect & ran into Sam Roffwarg   SOTD: The Chain AOTD: Mav City. Fleetwood Mac
16057269926,	Called mom. Can never tell if it’s rude to chat on the phone on the gym elliptical/treadmill
16065109307,	1 mi Wu 5 x (3 mins @7:10. 2 mins off) Cd to 6
16073408398,	SOTD: Yebba’s heartbreak. silver springs AOTD: Faye Webster. Fleetwood Mac  No dreams last night
16076711261,	SOTR: cmon. sugar on my tongue AOTR: Kesha. Tyler
16084548183,	16 x 400s w/ 1 min rest! Enjoying this cold weather
16106701307,	SOTD: Playdate Pod AOTD: will & rusty Bonus chatter otw home w/ Nicole Svendsen made the run <3!!
16132701781,	Rated our days on a scale of 1 - 10. Discussed the mystery of a time change.
16136568016,	2 mi Wu. 5mi tempo goal 7:10. 1 mi cd Pictured is all the clothes i took off after the warm up & my new pepper spray. Felt awesome  SOTD: Silver Springs. 6s to 9s. Weekend AOTD: Rationale. Bobby shmurda. FM
16148029580,	SOTD: Erase Me. She looks so perfect. Peanut butter jelly AOTD: kid cudi. snoop. 5SOS
16165766247,	Really didn’t want to run. So so so glad i did. 10x800s @10k 2-3 min stand rest
16171690747,	Sore from last night SOTD: collard greens
16180792759,	Jojo W. Is not human pt2 1 mi @ jojo GMP 2 x .5 @ jojo GMP literally hanging on for dear life
16206318416,	Connor & Charmaine B are goated for driving 30 mins to come to run club.
16209965389,	2 mi Wu. 2 mi @ threshold. 2 mi easy. 2 mi @ threshold  SOTD: cowboy like me. fate of Ophelia. door swangin AOTD: Taylor. 2 chainz
16223659270,	SOTD: Gypsy AOTD: fm
16234617168,	Long hill repeats SOTD: mask off. sweet escape AOTD: Zach from Progressive. Very sweet.
16240086335,	Tripped at the turn around & went ass over tea kettle. Trying again later i guess  SOTD: Eric Clapton Stole My Wife
16276900781,	Loved the new location. Discussed NWT & family. Chris’s last Hyfo ??
16280420075,	I got tempo’d. that was hard. I wore a scarf on the warm up?? Jonathan Mace I just signed up for the Running Workshop! Everybody come!  SOTD: She will. breakin dishes. the chain. bodyguard  AOTD: Wayne. FM. Rationale
16294176322,	Cold felt good on my legs SOTD: 1901. Mauie Wowie. the spins AOTD: Phoenix. Cudi
16304116836,	Powered through 3/7ths of my workout then ran it back. Feeling quite burnt the past 1.5 weeks. I don’t like it
16346982711,	Can’t even put into words how awesome that was. Life is worth living
16362634742,	5 x 4mins on 2 mins off. Brutal til the sun came up. Awesome once it did.  SOTD: Kingston. Holy Grail AOTD: flux pavilion. Faye Webster
16379914860,	Max Martin ran me out of my socks. I have no what pace anything was  1600 800 400 800 800 400 800 400 400
16394653354,	SOTD: This must be the place. two coins. Electric Love. Cupids chokehold AOTD: talking heads. dispatch. whethan  Ran with sweet Verena! Gu at 9. chipper bowl last night.
16408940544,	Best day of the season. Fingers are icicles.
16419805237,	Running with my friends makes me feel more joy than a frozen margarita with tajin! Awesome Monday
16424038021,	2 mi Wu. 5 mi tempo. 1 mi cd. My fingers are freezing.  SOTD: Silver springs. skrilla. bluest flame AOTD: Fleetwood Mac all fall! & sexy red???
16441637215,	16x400s @ 6min pace equal time stand rest. Really didn’t wanna do it. so so so glad i did
16451258810,	Awesome Hyfo event
16455050997,	12 hills easy. 30 sec stand rest
16467743426,	Amazing job everyone!!! Morgan & Avery nailed the signs too.
16470207956,	SOTD: Right side of my neck. pilot jones. bad religion AOTD: Faye Webster. Frank Ocean
16490908662,	@ Slider
16500436487,	Felt good on my hip
16504405560,	Fun run. Foggy! Grey pace ??  SOTD: let it rock. mimosa 2000. erase me AOTD: Bobby Shmurda. Lizzy Small
16520494338,	5x1200s! Wanted to stop after 4 - would have if it wasn’t for Jordan & Nicole <3
16534989605,	Sneaky awesome run   SOTD: when it’s over. 505 AOTD: Hall & Oates
